frame,system,rom_label,pc,screen_ready,ram_script,ram_subscript,ppu_load_index,cur_save_slot,ram_004D,ram_next_script,ram_041F,ram_0421,ram_0423,ram_0000,ram_0001,ram_0002,ram_0003,ram_0004,ram_0005,spr_index_1,spr_index_2,trace_last,PPU_REQ_INDEX,PPU_REQ_PTR,PPU_REQ_RES,SEQ_EVT_COUNT,PPU_EVT_COUNT,ppu_buf_00,ppu_buf_01,ppu_buf_02,ppu_buf_03,ppu_buf_04,ppu_buf_05,ppu_buf_06,ppu_buf_07,ppu_buf_08,ppu_buf_09,ppu_buf_0A,ppu_buf_0B,ppu_buf_0C,ppu_buf_0D,ppu_buf_0E,ppu_buf_0F,ppu_buf_10,ppu_buf_11,ppu_buf_12,ppu_buf_13,ppu_buf_14,ppu_buf_15,ppu_buf_16,ppu_buf_17,ppu_buf_18,ppu_buf_19,ppu_buf_1A,ppu_buf_1B,ppu_buf_1C,ppu_buf_1D,ppu_buf_1E,ppu_buf_1F,oam_00,oam_01,oam_02,oam_03,oam_04,oam_05,oam_06,oam_07,oam_08,oam_09,oam_0A,oam_0B,oam_0C,oam_0D,oam_0E,oam_0F
45,genesis,zelda_v358_autostart,000B8C,00,00,00,00,00,00,00,00,00,00,20,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
46,genesis,zelda_v358_autostart,000904,00,00,00,00,00,00,00,00,00,00,20,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
47,genesis,zelda_v358_autostart,000904,00,00,00,00,00,00,00,00,00,00,20,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
48,genesis,zelda_v358_autostart,000C2E,00,00,00,00,00,00,00,00,00,00,20,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
49,genesis,zelda_v358_autostart,000904,00,00,00,00,00,00,00,00,00,00,28,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
50,genesis,zelda_v358_autostart,0008E2,00,00,00,00,00,00,00,00,00,00,28,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
51,genesis,zelda_v358_autostart,000C18,00,00,00,00,00,00,00,00,00,00,28,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
52,genesis,zelda_v358_autostart,0012DE,00,00,00,00,00,00,00,00,00,00,28,24,00,01,01,00,00,00,0403,0000,0302,00000000,0000,0008,3F,00,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
53,genesis,zelda_v358_autostart,016A80,00,00,00,00,00,00,00,00,00,00,00,06,FF,01,01,00,00,00,0203,0000,0302,00000000,0000,000A,23,23,3F,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
54,genesis,zelda_v358_autostart,000E8A,00,00,00,00,00,00,00,00,00,00,02,03,FF,01,01,00,00,00,0403,0000,0302,00000000,0000,000D,23,23,3F,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
55,genesis,zelda_v358_autostart,000E58,00,00,00,00,00,00,00,00,00,00,02,03,FF,01,01,00,00,00,0403,0000,0302,00000000,0000,000D,23,23,3F,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
56,genesis,zelda_v358_autostart,000ED8,00,00,00,00,00,00,00,00,00,00,02,03,FF,01,01,00,00,00,0403,0000,0302,00000000,0000,000D,23,23,3F,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
57,genesis,zelda_v358_autostart,000BB0,00,00,00,00,00,00,00,00,00,00,02,03,FF,01,01,00,00,00,0403,0000,0302,00000000,0000,000D,23,23,3F,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
58,genesis,zelda_v358_autostart,000B84,00,00,00,00,00,00,00,00,00,00,02,03,FF,01,01,00,00,00,0403,0000,0302,00000000,0000,000E,23,23,3F,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
59,genesis,zelda_v358_autostart,000916,00,00,00,00,00,00,00,00,00,00,F4,80,8B,06,01,00,00,00,0403,0000,0302,00000000,0000,0012,3F,00,FF,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
60,genesis,zelda_v358_autostart,0008DA,00,00,00,00,00,00,00,00,00,00,A9,81,D6,05,01,00,00,00,0403,0000,0302,00000000,0000,0012,3F,00,FF,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
61,genesis,zelda_v358_autostart,00723A,00,00,00,00,00,00,00,00,00,00,5E,82,22,05,01,00,00,00,0403,0000,0302,00000000,0000,0012,3F,00,FF,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
62,genesis,zelda_v358_autostart,000C9E,00,00,00,00,00,00,00,00,00,00,12,83,6D,04,01,00,00,00,0403,0000,0302,00000000,0000,0012,3F,00,FF,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
63,genesis,zelda_v358_autostart,007218,00,00,00,00,00,00,00,00,00,00,C7,83,B8,03,01,00,00,00,0403,0000,0302,00000000,0000,0012,3F,00,FF,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
64,genesis,zelda_v358_autostart,000B94,00,00,00,00,00,00,00,00,00,00,7B,84,04,03,01,00,00,00,0403,0000,0302,00000000,0000,0012,3F,00,FF,00,20,36,0F,00,10,36,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,F8,00,00,00,F8,00,00,00,F8,00,00,00,F8,00,00,00
