=== JOY OVERRIDE START INJECTION TEST ===
Rom: zelda_v540
Start injection frame: 900
Max frames: 2000

Frame | Script | Sub | PPULoad | Slot | PPUCtrl | PPUMask | VRAMAddr | Ready | Notes
1130 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1140 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1150 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1160 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1170 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1180 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1190 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1200 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1210 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1220 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1230 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1240 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1250 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1260 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1270 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1280 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1290 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1300 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1310 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
