frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,d0,d1,d2,d3,d4,a0,a1
127,000C86,0403,026E,FFCE34,00E3,4,00,0E34,00,FF,00,20,36,0F,00,00000400,00000012,0000000E,00000E34,00010E34,00FFC000,0001876B
127,000C86,0403,026E,FFCE35,00E3,5,01,0E35,00,FF,00,20,36,0F,00,00000401,00000011,0000000E,00000E35,00010E35,00FFC000,0001876C
127,000C86,0403,026E,FFCE36,00E3,6,10,0E36,00,FF,00,20,36,0F,00,00000410,00000010,0000000E,00000E36,00010E36,00FFC000,0001876D
127,000C86,0403,026E,FFCE37,00E3,7,30,0E37,00,FF,00,20,36,0F,00,00000430,0000000F,0000000E,00000E37,00010E37,00FFC000,0001876E
127,000C86,0403,026E,FFCE38,00E3,8,28,0E38,00,FF,00,20,36,0F,00,00000428,0000000E,0000000E,00000E38,00010E38,00FFC000,0001876F
127,000C86,0403,026E,FFCE39,00E3,9,00,0E39,00,FF,00,20,36,0F,00,00000400,0000000D,0000000E,00000E39,00010E39,00FFC000,00018770
127,000C86,0403,026E,FFCE3A,00E3,10,20,0E3A,00,FF,00,20,36,0F,00,00000420,0000000C,0000000E,00000E3A,00010E3A,00FFC000,00018771
127,000C86,0403,026E,FFCE3B,00E3,11,7C,0E3B,00,FF,00,20,36,0F,00,0000047C,0000000B,0000000E,00000E3B,00010E3B,00FFC000,00018772
127,000C86,0403,026E,FFCE3C,00E3,12,00,0E3C,00,FF,00,20,36,0F,00,00000400,0000000A,0000000E,00000E3C,00010E3C,00FFC000,00018773
127,000C86,0403,026E,FFCE3D,00E3,13,FF,0E3D,00,FF,00,20,36,0F,00,000004FF,00000009,0000000E,00000E3D,00010E3D,00FFC000,00018774
127,000C86,0403,026E,FFCE3E,00E3,14,03,0E3E,00,FF,00,20,36,0F,00,00000403,00000008,0000000E,00000E3E,00010E3E,00FFC000,00018775
127,000C86,0403,026E,FFCE3F,00E3,15,02,0E3F,00,FF,00,20,36,0F,00,00000402,00000007,0000000E,00000E3F,00010E3F,00FFC000,00018776
155,000C86,0403,03A0,FFCE24,00E2,4,0E,0E24,00,FF,00,20,36,0F,20,0000040E,00000034,0000000E,00000E24,00010E24,00FFC000,000184EC
155,000C86,0403,03A0,FFCE25,00E2,5,1B,0E25,00,FF,00,20,36,0F,20,0000041B,00000033,0000000E,00000E25,00010E25,00FFC000,000184ED
155,000C86,0403,03A0,FFCE26,00E2,6,63,0E26,00,FF,00,20,36,0F,20,00000463,00000032,0000000E,00000E26,00010E26,00FFC000,000184EE
155,000C86,0403,03A0,FFCE27,00E2,7,24,0E27,00,FF,00,20,36,0F,20,00000424,00000031,0000000E,00000E27,00010E27,00FFC000,000184EF
155,000C86,0403,03A0,FFCE28,00E2,8,24,0E28,00,FF,00,20,36,0F,20,00000424,00000030,0000000E,00000E28,00010E28,00FFC000,000184F0
155,000C86,0403,03A0,FFCE29,00E2,9,24,0E29,00,FF,00,20,36,0F,20,00000424,0000002F,0000000E,00000E29,00010E29,00FFC000,000184F1
155,000C86,0403,03A0,FFCE2A,00E2,10,E3,0E2A,00,FF,00,20,36,0F,20,000004E3,0000002E,0000000E,00000E2A,00010E2A,00FFC000,000184F2
155,000C86,0403,03A0,FFCE2B,00E2,11,24,0E2B,00,FF,00,20,36,0F,20,00000424,0000002D,0000000E,00000E2B,00010E2B,00FFC000,000184F3
155,000C86,0403,03A0,FFCE2C,00E2,12,24,0E2C,00,FF,00,20,36,0F,20,00000424,0000002C,0000000E,00000E2C,00010E2C,00FFC000,000184F4
155,000C86,0403,03A0,FFCE2D,00E2,13,23,0E2D,00,FF,00,20,36,0F,20,00000423,0000002B,0000000E,00000E2D,00010E2D,00FFC000,000184F5
155,000C86,0403,03A0,FFCE2E,00E2,14,80,0E2E,00,FF,00,20,36,0F,20,00000480,0000002A,0000000E,00000E2E,00010E2E,00FFC000,000184F6
155,000C86,0403,03A0,FFCE2F,00E2,15,20,0E2F,00,FF,00,20,36,0F,20,00000420,00000029,0000000E,00000E2F,00010E2F,00FFC000,000184F7
155,000C86,0403,03A0,FFCE30,00E3,0,24,0E30,00,FF,00,20,36,0F,20,00000424,00000028,0000000E,00000E30,00010E30,00FFC000,000184F8
155,000C86,0403,03A0,FFCE31,00E3,1,24,0E31,00,FF,00,20,36,0F,20,00000424,00000027,0000000E,00000E31,00010E31,00FFC000,000184F9
155,000C86,0403,03A0,FFCE32,00E3,2,E3,0E32,00,FF,00,20,36,0F,20,000004E3,00000026,0000000E,00000E32,00010E32,00FFC000,000184FA
155,000C86,0403,03A0,FFCE33,00E3,3,24,0E33,00,FF,00,20,36,0F,20,00000424,00000025,0000000E,00000E33,00010E33,00FFC000,000184FB
155,000C86,0403,03A0,FFCE34,00E3,4,24,0E34,00,FF,00,20,36,0F,20,00000424,00000024,0000000E,00000E34,00010E34,00FFC000,000184FC
155,000C86,0403,03A0,FFCE35,00E3,5,24,0E35,00,FF,00,20,36,0F,20,00000424,00000023,0000000E,00000E35,00010E35,00FFC000,000184FD
155,000C86,0403,03A0,FFCE36,00E3,6,24,0E36,00,FF,00,20,36,0F,20,00000424,00000022,0000000E,00000E36,00010E36,00FFC000,000184FE
155,000C86,0403,03A0,FFCE37,00E3,7,24,0E37,00,FF,00,20,36,0F,20,00000424,00000021,0000000E,00000E37,00010E37,00FFC000,000184FF
155,000C86,0403,03A0,FFCE38,00E3,8,24,0E38,00,FF,00,20,36,0F,20,00000424,00000020,0000000E,00000E38,00010E38,00FFC000,00018500
155,000C86,0403,03A0,FFCE39,00E3,9,24,0E39,00,FF,00,20,36,0F,20,00000424,0000001F,0000000E,00000E39,00010E39,00FFC000,00018501
155,000C86,0403,03A0,FFCE3A,00E3,10,24,0E3A,00,FF,00,20,36,0F,20,00000424,0000001E,0000000E,00000E3A,00010E3A,00FFC000,00018502
155,000C86,0403,03A0,FFCE3B,00E3,11,24,0E3B,00,FF,00,20,36,0F,20,00000424,0000001D,0000000E,00000E3B,00010E3B,00FFC000,00018503
155,000C86,0403,03A0,FFCE3C,00E3,12,24,0E3C,00,FF,00,20,36,0F,20,00000424,0000001C,0000000E,00000E3C,00010E3C,00FFC000,00018504
155,000C86,0403,03A0,FFCE3D,00E3,13,24,0E3D,00,FF,00,20,36,0F,20,00000424,0000001B,0000000E,00000E3D,00010E3D,00FFC000,00018505
155,000C86,0403,03A0,FFCE3E,00E3,14,24,0E3E,00,FF,00,20,36,0F,20,00000424,0000001A,0000000E,00000E3E,00010E3E,00FFC000,00018506
155,000C86,0403,03A0,FFCE3F,00E3,15,24,0E3F,00,FF,00,20,36,0F,20,00000424,00000019,0000000E,00000E3F,00010E3F,00FFC000,00018507
157,000C86,0403,03B6,FFCE12,00E1,2,00,0E12,00,FF,00,20,36,0F,20,00000400,00000034,0000000E,00000E12,00010E12,00FFC000,00018749
157,000C86,0403,03B6,FFCE13,00E1,3,0E,0E13,00,FF,00,20,36,0F,20,0000040E,00000033,0000000E,00000E13,00010E13,00FFC000,0001874A
157,000C86,0403,03B6,FFCE14,00E1,4,10,0E14,00,FF,00,20,36,0F,20,00000410,00000032,0000000E,00000E14,00010E14,00FFC000,0001874B
157,000C86,0403,03B6,FFCE15,00E1,5,39,0E15,00,FF,00,20,36,0F,20,00000439,00000031,0000000E,00000E15,00010E15,00FFC000,0001874C
157,000C86,0403,03B6,FFCE16,00E1,6,00,0E16,00,FF,00,20,36,0F,20,00000400,00000030,0000000E,00000E16,00010E16,00FFC000,0001874D
157,000C86,0403,03B6,FFCE17,00E1,7,FF,0E17,00,FF,00,20,36,0F,20,000004FF,0000002F,0000000E,00000E17,00010E17,00FFC000,0001874E
