=== ROOM WRITE TRACE zelda_v389 ===
Frames observed: 850..1700
Final script=5 sub=0 ready=1 map=00 next=00

Region summaries:
6530 total=44 nonzero=37 unique=44 first_frame=1265 last_frame=1265
687E total=128 nonzero=8 unique=128 first_frame=887 last_frame=887
68FE total=128 nonzero=42 unique=128 first_frame=887 last_frame=887
697E total=128 nonzero=28 unique=128 first_frame=887 last_frame=888
69FE total=128 nonzero=9 unique=128 first_frame=888 last_frame=888
6A7E total=128 nonzero=0 unique=128 first_frame=888 last_frame=888
6AFE total=128 nonzero=0 unique=128 first_frame=888 last_frame=888

First events:
frame,region,addr,value,pc,script,sub,ready,map,next
887,687E,FF68BA,6C,018626,2,0,0,00,00
887,687E,FF68BB,00,018626,2,0,0,00,00
887,687E,FF68BC,00,018626,2,0,0,00,00
887,687E,FF68BD,00,018626,2,0,0,00,00
887,687E,FF68BE,00,018626,2,0,0,00,00
887,687E,FF68BF,00,018626,2,0,0,00,00
887,687E,FF68C0,00,018626,2,0,0,00,00
887,687E,FF68C1,6C,018626,2,0,0,00,00
887,687E,FF68C2,00,018626,2,0,0,00,00
887,687E,FF68C3,00,018626,2,0,0,00,00
887,687E,FF68C4,00,018626,2,0,0,00,00
887,687E,FF68C5,00,018626,2,0,0,00,00
887,687E,FF68C6,00,018626,2,0,0,00,00
887,687E,FF68C7,00,018626,2,0,0,00,00
887,687E,FF68C8,00,018626,2,0,0,00,00
887,687E,FF68C9,00,018626,2,0,0,00,00
887,687E,FF68CA,00,018626,2,0,0,00,00
887,687E,FF68CB,00,018626,2,0,0,00,00
887,687E,FF68CC,00,018626,2,0,0,00,00
887,687E,FF68CD,00,018626,2,0,0,00,00
887,687E,FF68CE,00,018626,2,0,0,00,00
887,687E,FF68CF,00,018626,2,0,0,00,00
887,687E,FF68D0,00,018626,2,0,0,00,00
887,687E,FF68D1,00,018626,2,0,0,00,00
887,687E,FF68D2,00,018626,2,0,0,00,00
887,687E,FF68D3,00,018626,2,0,0,00,00
887,687E,FF68D4,00,018626,2,0,0,00,00
