frame,system,rom_label,pc,ram_0000_t49,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,cur_save_slot,rendering_flag,ram_004D,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_041F,ram_0421,ram_0423,spr_index_1,spr_index_2,ram_042D,ram_042E,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7
54,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,1D,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0C,01,C4,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,3A,09,3F,12,3A,80,17,3F,00,FF,04,04,36,17,27,0F,FF
55,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,1E,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0C,01,C6,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,39,08,3E,11,39,80,18,3F,00,FF,04,04,36,17,27,0F,FF
56,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,1F,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0D,01,C8,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,38,07,3D,10,38,80,19,3F,00,3F,04,04,36,17,17,0F,FF
57,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,20,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0D,01,CA,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,37,06,3C,0F,37,80,1A,3F,00,FF,04,04,36,17,17,0F,FF
58,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,21,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0E,01,CC,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,36,05,3B,0E,36,80,1B,3F,00,FF,04,04,36,17,17,0F,FF
59,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,22,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0E,01,CE,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,35,04,3A,0D,35,80,1C,3F,00,FF,04,04,36,17,17,0F,FF
60,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,23,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0F,01,D0,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,34,03,39,0C,34,80,1D,3F,00,FF,04,04,36,17,17,0F,FF
61,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,24,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0F,01,D2,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,33,02,38,0B,33,80,1E,3F,00,FF,04,04,36,17,17,0F,FF
62,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,25,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,10,01,D4,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,32,01,37,0A,32,80,1F,3F,00,3F,04,04,36,17,07,0F,FF
63,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,26,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,10,01,D6,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,31,00,36,09,31,80,20,3F,00,FF,04,04,36,17,07,0F,FF
