frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
241,genesis,zelda_v540,ppu,91,91,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
242,genesis,zelda_v540,ppu,93,92,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
242,genesis,zelda_v540,ppu,93,93,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
243,genesis,zelda_v540,ppu,95,94,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
243,genesis,zelda_v540,ppu,95,95,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
244,genesis,zelda_v540,ppu,97,96,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
244,genesis,zelda_v540,ppu,97,97,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
245,genesis,zelda_v540,ppu,99,98,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
245,genesis,zelda_v540,ppu,99,99,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
246,genesis,zelda_v540,ppu,101,100,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
246,genesis,zelda_v540,ppu,101,101,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
247,genesis,zelda_v540,ppu,103,102,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
247,genesis,zelda_v540,ppu,103,103,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
248,genesis,zelda_v540,ppu,105,104,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
248,genesis,zelda_v540,ppu,105,105,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
249,genesis,zelda_v540,ppu,107,106,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
249,genesis,zelda_v540,ppu,107,107,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
250,genesis,zelda_v540,ppu,109,108,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
250,genesis,zelda_v540,ppu,109,109,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
251,genesis,zelda_v540,ppu,111,110,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
251,genesis,zelda_v540,ppu,111,111,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
252,genesis,zelda_v540,ppu,113,112,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
252,genesis,zelda_v540,ppu,113,113,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
253,genesis,zelda_v540,ppu,115,114,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
253,genesis,zelda_v540,ppu,115,115,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
254,genesis,zelda_v540,ppu,117,116,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
254,genesis,zelda_v540,ppu,117,117,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
255,genesis,zelda_v540,ppu,119,118,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
255,genesis,zelda_v540,ppu,119,119,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
256,genesis,zelda_v540,ppu,121,120,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
256,genesis,zelda_v540,ppu,121,121,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
257,genesis,zelda_v540,ppu,123,122,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
257,genesis,zelda_v540,ppu,123,123,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
258,genesis,zelda_v540,ppu,125,124,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
258,genesis,zelda_v540,ppu,125,125,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
259,genesis,zelda_v540,ppu,127,126,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
259,genesis,zelda_v540,ppu,127,127,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
260,genesis,zelda_v540,ppu,129,128,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
260,genesis,zelda_v540,ppu,129,129,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
261,genesis,zelda_v540,ppu,131,130,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
261,genesis,zelda_v540,ppu,131,131,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
262,genesis,zelda_v540,ppu,133,132,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
262,genesis,zelda_v540,ppu,133,133,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
263,genesis,zelda_v540,ppu,135,134,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
263,genesis,zelda_v540,ppu,135,135,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
